Review,Preprocessed_Review,Sentiment
"I am a kid who goes to Math Genie and its really fun.
You get to learn stuff that puts you way ahead in your grade level.
The teachers are really nice.
it is one of the best classes i have ever gone to.",kid goes math genie really fun get learn stuff puts way ahead grade level teachers really nice one best classes ever gone,Positive
"My daughter has been going to MathGenie in East Brunswick for about a month now.  She attends both Math and English classes.  she looks forward to the weekly 2-hour long classes, especially Ms. Ogar's abacus classes.  Ms. Ogar is able to have the kids ""love"" working on math problems, with passion!  it may sound exaggerating, but my daughter was return home from the 2 hour long session, and go straight to her desk, open her math genie backpack, work on the home work again.  I can tell she enjoying working on the workbooks from math genie, it's fun like playing for her.",daughter going mathgenie east brunswick month attends math english classes looks forward weekly long classes especially ogar abacus classes ogar able kids love working math problems passion may sound exaggerating daughter return home 2 hour long session go straight desk open math genie backpack work home work tell enjoying working workbooks math genie fun like playing,Positive
"My daughter is doing better at her mad minutes because of math genie,YOU ARE THE BEST TEACHER IN THE WHOLE WORLD !!!!!!!!!!!",daughter better mad minutes math genie best teacher whole world,Positive
It is a rewarding experience for our girls who thoroughly learn and enjoy every minute of their class.,rewarding experience girls thoroughly learn enjoy every minute class,Positive
"My son has been attending Math Genie for more than a year.
We have seen a tremendous improvement in his math. Ms. Olga is a wonderful teacher and has helped my son every step of the way. To sum how good my son is, he adds and subtracts 3 digit numbers mentally whereas we have to use a calculator.",son attending math genie year seen tremendous improvement math olga wonderful teacher helped son every step way sum good son adds subtracts 3 digit numbers mentally whereas use calculator,Positive
My 5-and 7-year-old have been attending the Math Genie program since June 2013.  My 5-year-old is doing addition and subtraction on the abacus.  She is also able to perform mental operations easily.  My 7-year-old's mental aptitude has increased dramatically in the program.  He is able to use his abacus skills in his schoolwork and in word problems.  He can't wait to get to the multiplication and division!  I feel they are learning more than they would in their regular school curriculum and their understanding of numbers has increased from the program.,attending math genie program since june 2013 addition subtraction abacus also able perform mental operations easily mental aptitude increased dramatically program able use abacus skills schoolwork word problems ca wait get multiplication division feel learning would regular school curriculum understanding numbers increased program,Positive
"I have looked into other popular math programs out there before deciding on Math Genie. What sets them apart is that their approach to learning math is both practical and fun. It encourages analytical thinking and develops problem solving skills. Math Genie helps their students become more focused in classwork and be more responsible with homework.

My son Joshua benefited tremendously from the program. He is in the Advanced Math class in his school and I'm sure Math Genie helped him achieve that. My other son Matthew just started with the program. I'm confident that it's just a matter of time that he will follow in his brother's footsteps, with the help of the wonderful teachers at Math Genie.",looked popular math programs deciding math genie sets apart approach learning math practical fun encourages analytical thinking develops problem solving skills math genie helps students become focused classwork responsible homework son joshua benefited tremendously program advanced math class school sure math genie helped achieve son matthew started program confident matter time follow brother footsteps help wonderful teachers math genie,Positive
My daughter joined 3 weeks back and I have seen an increase in her speed using the abacus and she enjoys doing her homework,daughter joined 3 weeks back seen increase speed using abacus enjoys homework,Positive
"Our 7 yr old daughter has been attending Math Genie in East Brunswick for over 9 months now.  It all started one day when she told me that she that other classmates where better than her at math.  I had heard about Math Genie before and decided to enroll her.  We are amazed at the high level of sustained enthusiasm our daughter has developed in learning mental math.  The teachers do an awesome job in presenting mental math with the Abacus system.  One thing I appreciate is the individual pace that each student progresses in.  If the student struggles in any area the teacher will reinforce the lesson in HW and the next lesson repeatedly until the concept is learned,  I also appreciate quick ""after class"" feedback that the teacher shares with each parent.  It helps parents know what areas the child needs help in to focus during the week.",7 yr old daughter attending math genie east brunswick 9 months started one day told classmates better math heard math genie decided enroll amazed high level sustained enthusiasm daughter developed learning mental math teachers awesome job presenting mental math abacus system one thing appreciate individual pace student progresses student struggles area teacher reinforce lesson hw next lesson repeatedly concept learned also appreciate quick class feedback teacher shares parent helps parents know areas child needs help focus week,Positive
"My daughter really loves Math Genie. There is much to learn that can be used in school. the teacher ,Ms Olga is a very good teacher .",daughter really loves math genie much learn used school teacher ms olga good teacher,Positive
My daughter has been attending Math Genie for a year now. She looks forward to her math class every week and have progress steadily.  The most rewarding of it is seeing the proud look on her face when she completes her homework without mistakes.,daughter attending math genie year looks forward math class every week progress steadily rewarding seeing proud look face completes homework without mistakes,Positive
"Math genie is a great place for the kids to be there. My son started when he was 5 and graduated recently. My daughter is going to math genie south plainfield for a year now and getting the confidence. it not only sharpens their math skills but much more for overall brain development. Great teachers , they are always open to feedback.
Do a  favor to yourself by enrolling your kids here to get to a great start!!",math genie great place kids son started 5 graduated recently daughter going math genie south plainfield year getting confidence sharpens math skills much overall brain development great teachers always open feedback favor enrolling kids get great start,Positive
"This is an excellent tutoring service for both Reading Skills and Math. It is a unique format of learning that improves the kids memory retention as well as increased focus.
Both of our kids have seen huge gains since joining Math Genie. And it is great to be a step ahead in the key skills of reading and math.
And it is not all about just study..the kids have fun and it is great to see that they have incorporated a short meditation before the classes. The kids come out from the classes excited and happy.
The teachers are great and very accommodating, understanding. And Mr. Mohit/Ms. Naina who run this tutoring service are always open to suggestions and very approachable.",excellent tutoring service reading skills math unique format learning improves kids memory retention well increased focus kids seen huge gains since joining math genie great step ahead key skills reading math study kids fun great see incorporated short meditation classes kids come classes excited happy teachers great accommodating understanding naina run tutoring service always open suggestions approachable,Positive
"My 8-year-old and 6-year-old daughter both love Math Genie!  I enrolled my older daughter after she had been struggling with math at school in first grade, mostly out of a lack of confidence and interest.  Math Genie really did make math more fun for her and since she has begun, we have noticed a marked improvement in her math assessments at school and her overall attitude towards math in general.  We liked it so much, we enrolled my younger daughter who was in kindergarten at the time, even though she was not having any difficulties. Now she is performing far and above her grade level AND all her other subjects.  Best of all, they really do enjoy going and love their teachers.",daughter love math genie enrolled older daughter struggling math school first grade mostly lack confidence interest math genie really make math fun since begun noticed marked improvement math assessments school overall attitude towards math general liked much enrolled younger daughter kindergarten time even though difficulties performing far grade level subjects best really enjoy going love teachers,Positive
"My Son loves Math Genie, Ms Olga makes math fun.
I’ve noticed an improvement in both concentration and
confidence is all area of life. It is amazing how he is
Able to quickly calculate, triple digit addition and
Subtraction mentally",son loves math genie ms olga makes math fun noticed improvement concentration confidence area life amazing able quickly calculate triple digit addition subtraction mentally,Positive
My 9 year old son has been attending Math Genie for few months and he is loving it. I have seen good improvement.  Ms. Olga is a fun teacher and my son likes being in her class.  He  is getting better in mental math now.,9 year old son attending math genie months loving seen good improvement olga fun teacher son likes class getting better mental math,Positive
"The Math and Reading classes at Math Genie have been extremely beneficial for my kids.
The classes are very well structured. They focus on the foundational basics which stay with the kids throughout their academic growth.
The books and material provided are also of quality content. Great academic place for kids!",math reading classes math genie extremely beneficial kids classes well structured focus foundational basics stay kids throughout academic growth books material provided also quality content great academic place kids,Positive
My 9 year old son has been in the program for years. He has always been ahead of his classmates in school and among the highest scores in his class because of Math Genie. The people at Math Genie present math in way that makes learning fun for kids and the results are clear. I highly recommend this program to every parent.,9 year old son program years always ahead classmates school among highest scores class math genie people math genie present math way makes learning fun kids results clear highly recommend program every parent,Positive
"My daughter(Ghazal) has going to Math Genie for over a year now and she has improved incredibly over time. The teachers are great at addressing your concerns and working towards improving your child's skills. She has been with Ms. Tejal for the whole time,  who's an incredible teacher and has helped my daughter with her focus and concentration as well. We have tried several other programs but Math Genie seriously worked the way it promised. Also, the owners Naina and Mohit have always been there to address your concerns if any.",daughter ghazal going math genie year improved incredibly time teachers great addressing concerns working towards improving child skills tejal whole time incredible teacher helped daughter focus concentration well tried several programs math genie seriously worked way promised also owners naina mohit always address concerns,Positive
"My son has been with Math Genie since he's 4. He enjoys coming to the Genie Program and his teachers are very dedicated. They would usually provide good feedback after each class with regards to his progress . My son excels in his Math scores in all his school exam including end of the school year Math Test. I believe this program has equipped him with the foundation problem solving skills he needs as he embarks into a lifelong journey of learning and overcoming the challengers that comes with it . Of course, this is all done in a pace that is comfortable for him and he enjoys his classes very much!",son math genie since 4 enjoys coming genie program teachers dedicated would usually provide good feedback class regards progress son excels math scores school exam including end school year math test believe program equipped foundation problem solving skills needs embarks lifelong journey learning overcoming challengers comes course done pace comfortable enjoys classes much,Positive
My son has been attending the Math Genie program for about 1 1/2 years now.  We started out in East Brunswick and have now moved to this new locatiohn.  My son is a very confident 8 year old boy.  So many of his classmates (now going into 3rd grade) are struggling with math while my son gets through it very easily.   I am happy to report that he scored a 39 out of 40 in the year end assessment test.  I attribute his success in math to Math Genie and would highly recommend this program.,son attending math genie program 1 years started east brunswick moved new locatiohn son confident 8 year old boy many classmates going 3rd grade struggling math son gets easily happy report scored 39 40 year end assessment test attribute success math math genie would highly recommend program,Positive
My 9 year old son has been in the program for years. He has always been ahead of his classmates in school and among the highest scores in his class because of Math Genie. The people at Math Genie present math in a way that takes learning fun for kids and the results are clear. I highly recommend this program to every parent.,9 year old son program years always ahead classmates school among highest scores class math genie people math genie present math way takes learning fun kids results clear highly recommend program every parent,Positive
"My 7yr daugther goes to MathGenie since more than a year and she liked it very much, teachers are very attentive and professional. We feels good about her overall progress.",7yr daugther goes mathgenie since year liked much teachers attentive professional feels good overall progress,Positive
Our son has been enrolled in Math Genie for one year and has shown a considerable improvement in his math skills.,son enrolled math genie one year shown considerable improvement math skills,Positive
"My children have been with Math Genie since my daughter started in 2008 and now my son is currently attending.  I have seen positive results in school for both children.  Often teachers commented on how strong their math skills were.  My son was recently picked to go to Enrichment class as the teacher noted 2nd grade math was too easy for him.  Mohit, Naina and the teachers are all out to help your child succeed.  I am truly pleased to have had found this school.",children math genie since daughter started 2008 son currently attending seen positive results school children often teachers commented strong math skills son recently picked go enrichment class teacher noted 2nd grade math easy mohit naina teachers help child succeed truly pleased found school,Positive
My 7.5 year old son has been attending the reading program for the last few months. It has improved his reading in school. Its a great school and I will recommend it anyone who wants their kids to improve. I have already recommended to many of my friends.,year old son attending reading program last months improved reading school great school recommend anyone wants kids improve already recommended many friends,Positive
I would say that Math Genie's Reading Genie Program is fantastic because my son's progress in reading is remarkable and the teacher can deal with him very well.  All this progress actually occurred over one month!,would say math genie reading genie program fantastic son progress reading remarkable teacher deal well progress actually occurred one month,Positive
I love Math Genie.  It is fun and has really helped me get better at math and feel comfortable doing math problems in my head.  The teachers are all very nice.,love math genie fun really helped get better math feel comfortable math problems head teachers nice,Positive
My child's instructor is a truly fantastic teacher who inspires my child. She relates very well to her students and is extremely dedicated and passionate in helping her students to success. I'm quite pleased with my child's academic progress with this particular instructor since starting Math Genie. She always provides my child with confidence and encouragement to achieve. We look forward to more rewarding experiences! Keep up the great work Math Genie!,child instructor truly fantastic teacher inspires child relates well students extremely dedicated passionate helping students success quite pleased child academic progress particular instructor since starting math genie always provides child confidence encouragement achieve look forward rewarding experiences keep great work math genie,Positive
Both of my daughters really love Math Genie. It has really improved their math skills and given them confidence in their math skills.  They are always excited to go--the teachers are great and they learn while enjoying the classes.,daughters really love math genie really improved math skills given confidence math skills always excited go teachers great learn enjoying classes,Positive
My kid has developed an exceptional skill with Math.,kid developed exceptional skill math,Positive
"In third grade, I was a C student. Once I entered Math Genie my grades improved. I am now a 7th grader, a Math Genie graduate, and a straight A student.

I also play ice hockey. I have found that I can comprehend the game faster and be where I need to be. Math Genie, overall has made me think faster and smarter.",third grade c student entered math genie grades improved 7th grader math genie graduate straight student also play ice hockey found comprehend game faster need math genie overall made think faster smarter,Positive
"My son is 8 years old, and we as a parent are very prod of our decision of associating him with Match Genie. Math Genie has given him confidence, & knowledge to excel in class. Very good teachers, and good methodology to teach kids..  “EAST BRUNSWICK location rocks” KEEP UP THE GOOD WORK !!!

ON his own words ""My experience with Match Genie is, was and will be great! Without it, I would not be able to do such a great math, “MATH GENNIE makes math fun”",son 8 years old parent prod decision associating match genie math genie given confidence knowledge excel class good teachers good methodology teach kids east brunswick location rocks keep good work words experience match genie great without would able great math math gennie makes math fun,Positive
Best decision we ever made was putting our kids in Math Genie. My kids were able to get the hands-on method and really excelled because of it! Thanks so much!,best decision ever made putting kids math genie kids able get method really excelled thanks much,Positive
Thank you so much for all your help! Our kids love math because Math Genie has made it so much easier for them. They can do calculations in their heads... and sometimes faster than I can!,thank much help kids love math math genie made much easier calculations heads sometimes faster,Positive
Great program!!! My daughter has been attending Math & Reading genie for a little over 2years and she loves it!! She always looks forward to her weekly classes. Thankfully for the math reading staff for making learning fun and easy!! Thank you!!!,great program daughter attending math reading genie little 2years loves always looks forward weekly classes thankfully math reading staff making learning fun easy thank,Positive
"Our beautiful, creative and kind daughter has always struggled with Math.  The school system said she was MG but her confidence wasn't.  After only two months at Math Genie, her attitude and abilities have completely changed from ""i can't do this"" to ""I GOT THIS"".  She actually wants to go every week, even in the summer, and feels so accomplished and successful.  We attended another popular school in the area and after 6 months and $7000 we got nowhere.  We are so thankful our friends recommended Math Genie.  It has made such a difference.",beautiful creative kind daughter always struggled math school system said mg confidence two months math genie attitude abilities completely changed ca got actually wants go every week even summer feels accomplished successful attended another popular school area 6 months 7000 got nowhere thankful friends recommended math genie made difference,Positive
Very happy and satisfied with Staffs and Teachers and my daughters improvement,happy satisfied staffs teachers daughters improvement,Positive
"My both kids go to Math Genie and I am very satisfied. My 9 years old kid's English and Math improved a lot. His both English and Math teacher are excellent. My son says he just loves his Math & Reading Genie classes.

I joined my 4 year old just a month ago and I really see him picked up his alphabets and number so quickly. I did not expect it will be that quick.",kids go math genie satisfied 9 years old kid english math improved lot english math teacher excellent son says loves math reading genie classes joined 4 year old month ago really see picked alphabets number quickly expect quick,Positive
"Math genie, helps in math a lot. It is really helpful. In math you would be really good in math at school. You would be surprised about the impact it does on you. It takes some hard work but the teachers really help you out on it. You can get through levels really quick and you will love it there. We play many games to review our skills. And lots more.Everyone will love it.",math genie helps math lot really helpful math would really good math school would surprised impact takes hard work teachers really help get levels really quick love play many games review skills lots love,Positive
